Product Type,Product Weight (kg),Purpose,Vehicle Type,Vehicle Category,maxWeightCapacity
Vegetables,3527,crops,Elf Truck,N2,9838
Rice,1338,crops,Multicab,N1,3264
Cows,874,livestock,Mini Livestock Truck,N1,9826
Meat,1977,perishable crops,Refrigerated Van,N1,2363
Leafy Greens,7881,perishable crops,Refrigerated Truck,N2,8167
Meat,1098,perishable crops,Refrigerated Van,N1,7772
Rice,651,crops,Tricycle,L1,1089
Chickens,1142,livestock,Mini Livestock Truck,N1,1522
Leafy Greens,2633,perishable crops,Refrigerated Van,N1,7262
Eggs,11157,perishable crops,Refrigerated Truck,N2,11383
Eggs,1603,perishable crops,Refrigerated Van,N1,3948
Vegetables,277,crops,Tricycle,L1,540
Cows,867,livestock,Mini Livestock Truck,N1,2263
Eggs,1898,perishable crops,Refrigerated Van,N1,6122
Leafy Greens,8169,perishable crops,Refrigerated Truck,N2,8936
Corn,692,crops,Tricycle,L1,2648
Corn,1571,crops,Multicab,N1,1718
Rice,1467,crops,Multicab,N1,2997
Frozen Fish,1687,perishable crops,Refrigerated Van,N1,2119
Fruits,132,crops,Tricycle,L1,404
Frozen Fish,2358,perishable crops,Refrigerated Van,N1,3988
Leafy Greens,6149,perishable crops,Refrigerated Truck,N2,6250
Vegetables,453,crops,Tricycle,L1,1499
Meat,917,perishable crops,Refrigerated Van,N1,9862
Leafy Greens,1672,perishable crops,Refrigerated Van,N1,1717
Vegetables,2689,crops,Multicab,N1,3335
Frozen Fish,8172,perishable crops,Refrigerated Truck,N2,8593
Vegetables,911,crops,Tricycle,L1,1330
Corn,4251,crops,Elf Truck,N2,5961
Cows,4069,livestock,Livestock Truck,N2,8859
Eggs,1964,perishable crops,Refrigerated Van,N1,3164
Corn,2703,crops,Multicab,N1,3323
Rice,946,crops,Tricycle,L1,2172
Goats,1186,livestock,Mini Livestock Truck,N1,1194
Corn,2025,crops,Multicab,N1,2100
Fruits,1922,crops,Multicab,N1,2370
Goats,2001,livestock,Mini Livestock Truck,N1,3108
Chickens,3135,livestock,Mini Livestock Truck,N1,3257
Eggs,1734,perishable crops,Refrigerated Van,N1,3583
Vegetables,172,crops,Tricycle,L1,513
Fruits,119,crops,Tricycle,L1,262
Cows,11768,livestock,Heavy Livestock Trailer,N3,13582
Corn,484,crops,Tricycle,L1,1138
Meat,437,perishable crops,Refrigerated Van,N1,2361
Eggs,1333,perishable crops,Refrigerated Van,N1,3599
Goats,9462,livestock,Livestock Truck,N2,15851
Cows,173,livestock,Mini Livestock Truck,N1,2020
Leafy Greens,1453,perishable crops,Refrigerated Van,N1,2262
Rice,448,crops,Tricycle,L1,2634
Cows,11930,livestock,Heavy Livestock Trailer,N3,12543
Cows,2794,livestock,Mini Livestock Truck,N1,3287
Fruits,4551,crops,Elf Truck,N2,5262
Pigs,3594,livestock,Livestock Truck,N2,4434
Cows,4764,livestock,Livestock Truck,N2,5164
Chickens,1016,livestock,Mini Livestock Truck,N1,3111
Rice,111,crops,Tricycle,L1,272
Vegetables,266,crops,Tricycle,L1,1560
Corn,297,crops,Tricycle,L1,795
Meat,1358,perishable crops,Refrigerated Van,N1,11908
Leafy Greens,511,perishable crops,Refrigerated Van,N1,2267
Cows,1953,livestock,Mini Livestock Truck,N1,19565
Chickens,1078,livestock,Mini Livestock Truck,N1,1277
Pigs,3370,livestock,Livestock Truck,N2,4380
Vegetables,2895,crops,Multicab,N1,7861
Rice,4005,crops,Elf Truck,N2,9391
Pigs,1763,livestock,Mini Livestock Truck,N1,4780
Cows,6666,livestock,Livestock Truck,N2,16921
Cows,2270,livestock,Mini Livestock Truck,N1,3398
Goats,11489,livestock,Livestock Truck,N2,12793
Rice,1647,crops,Multicab,N1,2375
Frozen Fish,4956,perishable crops,Refrigerated Truck,N2,5147
Rice,10220,crops,Elf Truck,N2,10258
Vegetables,1149,crops,Multicab,N1,1535
Eggs,780,perishable crops,Refrigerated Van,N1,1442
Meat,982,perishable crops,Refrigerated Van,N1,1187
Eggs,173,perishable crops,Refrigerated Van,N1,3184
Cows,5145,livestock,Livestock Truck,N2,5785
Chickens,1218,livestock,Mini Livestock Truck,N1,2670
Rice,10505,crops,Elf Truck,N2,10823
Meat,191,perishable crops,Refrigerated Van,N1,1483
Chickens,3042,livestock,Mini Livestock Truck,N1,15194
Meat,2018,perishable crops,Refrigerated Van,N1,3524
Rice,3412,crops,Multicab,N1,5724
Fruits,138,crops,Tricycle,L1,158
Vegetables,403,crops,Tricycle,L1,415
Meat,5790,perishable crops,Refrigerated Truck,N2,5955
Frozen Fish,846,perishable crops,Refrigerated Van,N1,1335
Frozen Fish,1515,perishable crops,Refrigerated Van,N1,8880
Goats,4443,livestock,Livestock Truck,N2,15146
