Product Type,Product Weight (kg),Purpose,Vehicle Type,maxWeightCapacity
Fruits,11759,crops,10 Wheeler Cargo Truck,13207
Pigs,7060,livestock,10 wheeler Livestock Truck,8274
Vegetables,11861,crops,10 Wheeler Dump Truck,12472
Leafy Greens,5204,perishable goods,Large Refrigerated Truck,5672
Eggs,1055,perishable goods,Medium Refrigerated Van,1190
Fruits,1668,crops,Large Delivery Van,2671
Rice,4777,crops,Dropside Truck,5364
Leafy Greens,10415,perishable goods,10 wheeler Reefer Truck,11433
Meat,4834,perishable goods,Medium Refrigerated Truck,6040
Rice,1838,crops,Elf Truck,2686
Vegetables,936,crops,Small Delivery Van,1214
Pigs,2644,livestock,Medium Livestock Truck,2936
Rice,9217,crops,10 Wheeler Cargo Truck,10068
Frozen Fish,3087,perishable goods,Medium Refrigerated Truck,3921
Chickens,2479,livestock,Medium Livestock Truck,4331
Meat,5117,perishable goods,Large Refrigerated Truck,5242
Leafy Greens,11198,perishable goods,10 wheeler Reefer Truck,12377
Milk,2270,perishable goods,Small Refrigerated Truck,2894
Goats,5846,livestock,Large Livestock Truck,6367
Fresh Vegetables,2742,perishable goods,Small Refrigerated Truck,3309
Vegetables,8130,crops,Dropside Truck,10073
Fresh Vegetables,9213,perishable goods,10 wheeler Reefer Truck,10043
Vegetables,6420,crops,Dropside Truck,6689
Corn,10479,crops,10 Wheeler Cargo Truck,12293
Corn,1215,crops,Large Delivery Van,1380
Fresh Vegetables,8772,perishable goods,Large Refrigerated Truck,10188
Corn,11340,crops,10 Wheeler Cargo Truck,11875
Frozen Fish,4698,perishable goods,Medium Refrigerated Truck,5645
Eggs,4023,perishable goods,Medium Refrigerated Truck,5155
Pigs,7918,livestock,10 wheeler Livestock Truck,8773
Pigs,6492,livestock,Large Livestock Truck,8266
Eggs,6269,perishable goods,Large Refrigerated Truck,6512
Frozen Fish,11393,perishable goods,10 wheeler Reefer Truck,12157
Corn,12877,crops,10 Wheeler Dump Truck,13255
Fruits,7052,crops,Dropside Truck,8458
Rice,4478,crops,Dropside Truck,4804
Chickens,10473,livestock,10 wheeler Livestock Truck,10792
Vegetables,6608,crops,Dropside Truck,7213
Milk,3252,perishable goods,Medium Refrigerated Truck,4060
Vegetables,6364,crops,Dropside Truck,7923
Vegetables,14323,crops,10 Wheeler Dump Truck,15528
Goats,10184,livestock,10 wheeler Livestock Truck,11591
Meat,6444,perishable goods,Large Refrigerated Truck,6837
Pigs,8095,livestock,10 wheeler Livestock Truck,8569
Meat,5667,perishable goods,Large Refrigerated Truck,6417
Cows,6975,livestock,Large Livestock Truck,7387
Frozen Fish,3882,perishable goods,Medium Refrigerated Truck,5432
Meat,1990,perishable goods,Small Refrigerated Truck,3851
Fresh Vegetables,11385,perishable goods,10 wheeler Reefer Truck,12366
Fruits,5788,crops,Dropside Truck,6091
Milk,11618,perishable goods,10 wheeler Reefer Truck,12267
Chickens,6001,livestock,Large Livestock Truck,7382
Leafy Greens,2776,perishable goods,Small Refrigerated Truck,4628
Milk,6643,perishable goods,Large Refrigerated Truck,8619
Fruits,11969,crops,10 Wheeler Cargo Truck,12714
Rice,10815,crops,10 Wheeler Cargo Truck,10983
Goats,11795,livestock,10 wheeler Livestock Truck,12043
Fruits,1289,crops,Large Multicab,2302
Leafy Greens,2835,perishable goods,Small Refrigerated Truck,4604
Vegetables,2132,crops,Large Pickup Truck,2281
Corn,14279,crops,10 Wheeler Dump Truck,15531
Vegetables,9795,crops,10 Wheeler Cargo Truck,11504
Milk,886,perishable goods,Medium Refrigerated Van,1541
Rice,9791,crops,10 Wheeler Cargo Truck,11274
Fresh Vegetables,10039,perishable goods,10 wheeler Reefer Truck,11202
Corn,7214,crops,Dropside Truck,8210
Goats,1806,livestock,Medium Livestock Truck,2310
Milk,10155,perishable goods,10 wheeler Reefer Truck,10710
Leafy Greens,895,perishable goods,Medium Refrigerated Van,1972
Chickens,9153,livestock,10 wheeler Livestock Truck,10545
Frozen Fish,6688,perishable goods,Large Refrigerated Truck,7456
Goats,820,livestock,Small Livestock Truck,981
Meat,8727,perishable goods,Large Refrigerated Truck,9974
Cows,2577,livestock,Medium Livestock Truck,3150
Milk,4339,perishable goods,Medium Refrigerated Truck,6256
Cows,8869,livestock,10 wheeler Livestock Truck,9762
Cows,4195,livestock,Large Livestock Truck,5452
Corn,10757,crops,10 Wheeler Cargo Truck,11758
Chickens,8403,livestock,10 wheeler Livestock Truck,9649
Corn,3849,crops,Heavy Duty Pickup Truck,5255
Milk,9369,perishable goods,10 wheeler Reefer Truck,11012
Chickens,256,livestock,Small Livestock Truck,437
Corn,13109,crops,10 Wheeler Dump Truck,14510
Eggs,11664,perishable goods,10 wheeler Reefer Truck,13490
Leafy Greens,7709,perishable goods,Large Refrigerated Truck,8536
Frozen Fish,9121,perishable goods,10 wheeler Reefer Truck,10428
Eggs,9812,perishable goods,10 wheeler Reefer Truck,11789
Goats,6638,livestock,Large Livestock Truck,7038
Cows,8784,livestock,10 wheeler Livestock Truck,9814
Frozen Fish,11433,perishable goods,10 wheeler Reefer Truck,11991
Chickens,3569,livestock,Large Livestock Truck,3714
Frozen Fish,114,perishable goods,Small Refrigerated Van,313
Rice,1940,crops,Large Delivery Van,2497
Milk,487,perishable goods,Small Refrigerated Van,960
Pigs,9374,livestock,10 wheeler Livestock Truck,9707
Cows,5754,livestock,Large Livestock Truck,6950
Meat,8788,perishable goods,Large Refrigerated Truck,9987
Milk,11145,perishable goods,10 wheeler Reefer Truck,12074
Cows,2961,livestock,Medium Livestock Truck,4668
Leafy Greens,10013,perishable goods,10 wheeler Reefer Truck,11189
Milk,1858,perishable goods,Small Refrigerated Truck,2528
Fresh Vegetables,2500,perishable goods,Small Refrigerated Truck,3866
Corn,10743,crops,10 Wheeler Cargo Truck,11236
Meat,1262,perishable goods,Large Refrigerated Van,1875
Fruits,13787,crops,10 Wheeler Dump Truck,15009
Rice,3796,crops,Heavy Duty Pickup Truck,5289
Corn,3904,crops,Heavy Duty Pickup Truck,4597
Rice,10528,crops,10 Wheeler Cargo Truck,11762
Goats,2979,livestock,Medium Livestock Truck,3249
Pigs,7807,livestock,10 wheeler Livestock Truck,9084
Milk,849,perishable goods,Medium Refrigerated Van,2510
Leafy Greens,1498,perishable goods,Large Refrigerated Van,2172
Pigs,3208,livestock,Large Livestock Truck,4609
Corn,6580,crops,Dropside Truck,7216
Eggs,11448,perishable goods,10 wheeler Reefer Truck,12519
Vegetables,13681,crops,10 Wheeler Dump Truck,14399
Cows,1638,livestock,Medium Livestock Truck,2354
Goats,11075,livestock,10 wheeler Livestock Truck,11928
Leafy Greens,169,perishable goods,Small Refrigerated Van,506
Leafy Greens,5141,perishable goods,Large Refrigerated Truck,6360
Goats,3462,livestock,Large Livestock Truck,4018
Goats,4232,livestock,Large Livestock Truck,5596
Vegetables,4145,crops,Heavy Duty Pickup Truck,4604
Fruits,14891,crops,10 Wheeler Dump Truck,15483
Frozen Fish,6873,perishable goods,Large Refrigerated Truck,7804
Milk,2223,perishable goods,Small Refrigerated Truck,2346
Eggs,9694,perishable goods,10 wheeler Reefer Truck,10117
Cows,7804,livestock,10 wheeler Livestock Truck,8679
Rice,3340,crops,Elf Truck,4322
Corn,12409,crops,10 Wheeler Dump Truck,13039
Leafy Greens,7405,perishable goods,Large Refrigerated Truck,8234
Chickens,10871,livestock,10 wheeler Livestock Truck,12222
Corn,14891,crops,10 Wheeler Dump Truck,14997
Meat,8639,perishable goods,Large Refrigerated Truck,10164
