Product Type,Product Weight (kg),Purpose,Vehicle Type
Milk,4061,perishable goods,Medium Refrigerated Truck
Vegetables,14430,crops,10 Wheeler Dump Truck
Fresh Vegetables,9871,perishable goods,10 wheeler Reefer Truck
Corn,1190,crops,Small Delivery Van
Fruits,11270,crops,10 Wheeler Dump Truck
Milk,2761,perishable goods,Small Refrigerated Truck
Meat,3361,perishable goods,Medium Refrigerated Truck
Cows,9111,livestock,10 wheeler Livestock Truck
Rice,3040,crops,Large Pickup Truck
Milk,111,perishable goods,Small Refrigerated Van
Rice,8650,crops,10 Wheeler Cargo Truck
Goats,11741,livestock,10 wheeler Livestock Truck
Corn,11300,crops,10 Wheeler Cargo Truck
Rice,11340,crops,10 Wheeler Dump Truck
Eggs,7211,perishable goods,Large Refrigerated Truck
Leafy Greens,6241,perishable goods,Large Refrigerated Truck
Meat,3971,perishable goods,Medium Refrigerated Truck
Vegetables,1930,crops,Large Delivery Van
Rice,1640,crops,Large Delivery Van
Pigs,4861,livestock,Large Livestock Truck
Meat,9511,perishable goods,10 wheeler Reefer Truck
Vegetables,1060,crops,Small Delivery Van
Chickens,5321,livestock,Large Livestock Truck
Cows,3691,livestock,Large Livestock Truck
Chickens,5231,livestock,Large Livestock Truck
Corn,12110,crops,10 Wheeler Dump Truck
Goats,7811,livestock,10 wheeler Livestock Truck
Corn,1430,crops,Elf Truck
Pigs,8271,livestock,10 wheeler Livestock Truck
Corn,8740,crops,Dropside Truck
Vegetables,7400,crops,Dropside Truck
Rice,4450,crops,Heavy Duty Pickup Truck
Chickens,9301,livestock,10 wheeler Livestock Truck
Frozen Fish,1051,perishable goods,Medium Refrigerated Van
Goats,4281,livestock,Large Livestock Truck
Meat,251,perishable goods,Small Refrigerated Van
Chickens,10191,livestock,10 wheeler Livestock Truck
Chickens,7451,livestock,10 wheeler Livestock Truck
Fruits,13810,crops,10 Wheeler Dump Truck
Rice,2170,crops,Elf Truck
Chickens,6071,livestock,Large Livestock Truck
Cows,1001,livestock,Small Livestock Truck
