Product Type,Product Weight (kg),Purpose,Vehicle Type,Vehicle Category,maxWeightCapacity
Corn,1284,crops,Multicab,N1,2650
Corn,765,crops,Multicab,N1,1306
Frozen Fish,6042,perishable crops,Refrigerated Truck,N2,8902
Corn,424,crops,Tricycle,L1,909
Chickens,13059,livestock,Heavy Livestock Trailer,N3,17704
Fruits,4758,crops,Elf Truck,N2,10342
Frozen Fish,2928,perishable crops,Refrigerated Truck,N2,4037
Rice,8135,crops,10-Wheeler Truck,N3,18620
Meat,134,perishable crops,Refrigerated Van,N1,1179
Rice,3535,crops,Elf Truck,N2,5116
Rice,294,crops,Tricycle,L1,517
Rice,1501,crops,Elf Truck,N2,3550
Pigs,10933,livestock,Heavy Livestock Trailer,N3,19238
Rice,11338,crops,10-Wheeler Truck,N3,18039
Goats,4447,livestock,Livestock Truck,N2,4521
Rice,666,crops,Tricycle,L1,853
Goats,3032,livestock,Heavy Livestock Trailer,N3,15667
Cows,2528,livestock,Mini Livestock Truck,N1,2826
Corn,187,crops,Tricycle,L1,629
Pigs,1672,livestock,Mini Livestock Truck,N1,2184
Goats,607,livestock,Mini Livestock Truck,N1,1120
Fruits,1652,crops,Elf Truck,N2,5630
Vegetables,254,crops,Tricycle,L1,911
Cows,4023,livestock,Livestock Truck,N2,5329
Leafy Greens,424,perishable crops,Refrigerated Van,N1,1868
Leafy Greens,263,perishable crops,Refrigerated Van,N1,1707
Meat,343,perishable crops,Refrigerated Van,N1,1750
Cows,4239,livestock,Livestock Truck,N2,6725
Vegetables,10093,crops,Elf Truck,N2,10602
Cows,4613,livestock,Heavy Livestock Trailer,N3,18647
Fruits,809,crops,Multicab,N1,1171
Cows,4489,livestock,Livestock Truck,N2,6777
Chickens,2487,livestock,Heavy Livestock Trailer,N3,17055
Chickens,8685,livestock,Heavy Livestock Trailer,N3,12949
Leafy Greens,2247,perishable crops,Refrigerated Truck,N2,6660
Eggs,3318,perishable crops,Refrigerated Truck,N2,8332
Corn,517,crops,Tricycle,L1,553
Eggs,5095,perishable crops,Refrigerated Truck,N2,7409
Meat,6573,perishable crops,Refrigerated Truck,N2,6781
Goats,5927,livestock,Livestock Truck,N2,10435
Frozen Fish,2467,perishable crops,Refrigerated Truck,N2,8368
Fruits,1253,crops,Multicab,N1,2867
Eggs,3343,perishable crops,Refrigerated Truck,N2,9103
Corn,651,crops,Tricycle,L1,939
Cows,1218,livestock,Mini Livestock Truck,N1,2676
Rice,234,crops,Tricycle,L1,254
Eggs,1295,perishable crops,Refrigerated Van,N1,2736
Vegetables,350,crops,Tricycle,L1,365
Cows,9168,livestock,Heavy Livestock Trailer,N3,17114
Leafy Greens,3011,perishable crops,Refrigerated Truck,N2,10904
Pigs,16729,livestock,Heavy Livestock Trailer,N3,16768
Frozen Fish,573,perishable crops,Refrigerated Van,N1,1490
Corn,8332,crops,10-Wheeler Truck,N3,13008
Goats,13828,livestock,Heavy Livestock Trailer,N3,13967
Cows,4129,livestock,Livestock Truck,N2,7644
Pigs,1552,livestock,Livestock Truck,N2,4234
Goats,2086,livestock,Mini Livestock Truck,N1,3333
Cows,1665,livestock,Mini Livestock Truck,N1,2394
Meat,1790,perishable crops,Refrigerated Van,N1,3436
Eggs,10550,perishable crops,Refrigerated Truck,N2,10584
Vegetables,421,crops,Tricycle,L1,495
Corn,1617,crops,Multicab,N1,1861
Frozen Fish,1315,perishable crops,Refrigerated Van,N1,2330
Meat,8152,perishable crops,Refrigerated Truck,N2,9759
Cows,1502,livestock,Mini Livestock Truck,N1,2582
Frozen Fish,3459,perishable crops,Refrigerated Truck,N2,4337
Rice,5275,crops,Elf Truck,N2,8448
