Product Type,Product Weight (kg),Purpose,Vehicle Type,Vehicle Category,maxWeightCapacity
Corn,16712,crops,10-Wheeler Truck,N3,13395
Corn,4304,livestock,Livestock Truck,N2,10896
Frozen Fish,2404,livestock,Mini Livestock Truck,N1,3307
Corn,12354,livestock,Heavy Livestock Trailer,N3,14537
Chickens,10166,perishable crops,Refrigerated Truck,N2,9529
Fruits,7056,perishable crops,Refrigerated Truck,N2,6916
Frozen Fish,13357,livestock,Heavy Livestock Trailer,N3,15693
Rice,7671,livestock,Livestock Truck,N2,7886
Meat,1960,crops,Open Truck,N1,2896
Rice,3085,crops,Pickup Truck,N1,1141
Rice,7233,perishable crops,Refrigerated Truck,N2,11058
Rice,12950,crops,Container Truck,N3,18353
Pigs,3690,livestock,Livestock Truck,N2,7884
Rice,12769,livestock,Heavy Livestock Trailer,N3,14096
Goats,1903,crops,Multicab,N1,740
Rice,3004,crops,Delivery Van,N1,1609
Goats,10471,crops,Elf Truck,N2,5151
Cows,564,crops,Motorcycle with Sidecar,L,544
Corn,17674,crops,Container Truck,N3,18615
Pigs,3989,perishable crops,Refrigerated Truck,N2,11964
Goats,6721,perishable crops,Refrigerated Truck,N2,6032
Fruits,850,crops,Open Truck,N1,1797
Vegetables,9085,perishable crops,Refrigerated Truck,N2,7357
Cows,7418,perishable crops,Refrigerated Truck,N2,10216
Leafy Greens,2708,crops,Open Truck,N1,2521
Leafy Greens,16418,crops,10-Wheeler Truck,N3,14529
Meat,15373,crops,Container Truck,N3,17645
Cows,399,crops,Tricycle,L,548
Vegetables,7275,crops,Elf Truck,N2,7514
Cows,5014,crops,Elf Truck,N2,5043
Fruits,16369,crops,10-Wheeler Truck,N3,13921
Cows,8822,crops,Elf Truck,N2,6599
Chickens,6018,livestock,Livestock Truck,N2,8270
Chickens,5960,perishable crops,Refrigerated Truck,N2,9779
Leafy Greens,17459,livestock,Heavy Livestock Trailer,N3,14171
Eggs,1967,crops,Multicab,N1,872
Corn,16103,livestock,Heavy Livestock Trailer,N3,14480
Eggs,12322,livestock,Heavy Livestock Trailer,N3,16049
Meat,7437,livestock,Livestock Truck,N2,7472
Goats,14951,crops,10-Wheeler Truck,N3,14796
Frozen Fish,12484,crops,10-Wheeler Truck,N3,14706
Fruits,4731,perishable crops,Refrigerated Truck,N2,11840
Eggs,8927,crops,Elf Truck,N2,5619
Corn,14551,crops,10-Wheeler Truck,N3,14131
Cows,4138,crops,Elf Truck,N2,6786
Rice,3722,livestock,Livestock Truck,N2,9869
Eggs,12380,livestock,Heavy Livestock Trailer,N3,17404
Vegetables,8995,perishable crops,Refrigerated Truck,N2,8266
Cows,6911,perishable crops,Refrigerated Truck,N2,11393
